,c1_c2,c2_c3,c3_c0,p1,p2,p3,p4
0,6.7910682750128775,6.999999652201162,17.660043150656026,[  11.20083141 -158.27005005],[  12.91868973 -151.65808105],[  18.92899132 -148.49661255],[  25.92893219 -148.52529907]
1,6.7910682750128775,6.999999652201162,17.660043150656026,[  11.20083141 -158.27005005],[  12.91868973 -151.65808105],[  18.92899132 -148.49661255],[  25.92893219 -148.52529907]
2,6.7910682750128775,6.999999652201162,17.660043150656026,[  11.20083141 -158.27005005],[  12.91868973 -151.65808105],[  18.92899132 -148.49661255],[  25.92893219 -148.52529907]
3,6.790316615485037,6.999993992751656,17.66761241217526,[  11.20083237 -158.27005005],[  12.92549324 -151.65176392],[  18.93896103 -148.49794006],[  25.93889618 -148.52664185]
4,6.78190282062028,6.999999902593896,17.699732438322155,[  11.20083237 -158.27005005],[  12.95864868 -151.62142944],[  18.98204041 -148.50486755],[  25.98198128 -148.53361511]
5,6.768553947997318,6.999595899113337,17.757392268121656,[  11.20083237 -158.27005005],[  13.01717377 -151.56758118],[  19.05984497 -148.51808167],[  26.05938339 -148.54644775]
6,6.751726004746247,6.998896340597664,17.8381298825858,[  11.20083237 -158.27005005],[  13.09872437 -151.49301147],[  19.16889763 -148.53686523],[  26.16773796 -148.56486511]
7,6.7302330775365515,6.999654789874848,17.942300856202415,[  11.20083237 -158.27005005],[  13.20435905 -151.39733887],[  19.30828476 -148.56217957],[  26.30788422 -148.5900116 ]
8,6.70241924611402,7.000445607713775,18.06772137960928,[  11.20083237 -158.27005005],[  13.33562183 -151.279953  ],[  19.47640991 -148.59422302],[  26.47680092 -148.62187195]
9,6.670583941769579,7.004763608048462,18.21585699154433,[  11.20083237 -158.27005005],[  13.49152279 -151.14326477],[  19.67180824 -148.63313293],[  26.67651367 -148.66168213]
10,6.638479564816265,7.008684227606146,18.384004777403657,[  11.20083237 -158.27005005],[  13.67075157 -150.98931885],[  19.89473534 -148.68032837],[  26.90335846 -148.70959473]
11,6.6108922635226435,7.010344053176843,18.570909841253247,[  11.20083237 -158.27005005],[  13.87171841 -150.82162476],[  20.14518547 -148.73655701],[  27.15546799 -148.76593018]
